subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
iuphar.ligand:3262,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.2966124918118496,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:12486,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002406
rxcui:119565,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0494354153019749,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:3274,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:293,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:8591,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:335,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:313,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator|inhibitor,interaction score = 0.0988708306039498,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:324,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:361,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:12301,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:307,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0988708306039498,http://purl.obolibrary.org/obo/RO_0002408
rxcui:1546438,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0741531229529624,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:8593,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:292,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002406
rxcui:152021,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0539295439657908,http://purl.obolibrary.org/obo/RO_0002408
rxcui:69120,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0593224983623699,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:308,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:339,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0011002
rxcui:44281,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.084746426231957,http://purl.obolibrary.org/obo/RO_0002406
rxcui:8761,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.084746426231957,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:348,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0011002
rxcui:1487512,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0741531229529624,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:3264,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
rxcui:107770,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0988708306039498,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:327,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0988708306039498,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:295,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002406
