id,semantic_groups,uri,preflabel,name,synonyms,description
MONDO:0010382,phenotype,http://purl.obolibrary.org/obo/MONDO_0010382,MONDO:0010382,MONDO:0010382,NA,NA
HGNC:11139,gene,https://identifiers.org/HGNC:11139,HGNC:11139,HGNC:11139,NA,NA
HGNC:11588,gene,https://identifiers.org/HGNC:11588,HGNC:11588,HGNC:11588,NA,NA
HGNC:6826,gene,https://identifiers.org/HGNC:6826,HGNC:6826,HGNC:6826,NA,NA
MONDO:0011781,phenotype,http://purl.obolibrary.org/obo/MONDO_0011781,MONDO:0011781,MONDO:0011781,NA,NA
HGNC:12666,gene,https://identifiers.org/HGNC:12666,HGNC:12666,HGNC:12666,NA,NA
HGNC:2158,gene,https://identifiers.org/HGNC:2158,HGNC:2158,HGNC:2158,NA,NA
MONDO:0007435,phenotype,http://purl.obolibrary.org/obo/MONDO_0007435,MONDO:0007435,MONDO:0007435,NA,NA
MONDO:0010317,phenotype,http://purl.obolibrary.org/obo/MONDO_0010317,MONDO:0010317,MONDO:0010317,NA,NA
MONDO:0017161,phenotype,http://purl.obolibrary.org/obo/MONDO_0017161,MONDO:0017161,MONDO:0017161,NA,NA
MONDO:0008458,phenotype,http://purl.obolibrary.org/obo/MONDO_0008458,MONDO:0008458,MONDO:0008458,NA,NA
MONDO:0014531,phenotype,http://purl.obolibrary.org/obo/MONDO_0014531,MONDO:0014531,MONDO:0014531,NA,NA
MONDO:0008608,phenotype,http://purl.obolibrary.org/obo/MONDO_0008608,MONDO:0008608,MONDO:0008608,NA,NA
HGNC:10519,gene,https://identifiers.org/HGNC:10519,HGNC:10519,HGNC:10519,NA,NA
HGNC:20373,gene,https://identifiers.org/HGNC:20373,HGNC:20373,HGNC:20373,NA,NA
HGNC:890,gene,https://identifiers.org/HGNC:890,HGNC:890,HGNC:890,NA,NA
MONDO:0011743,phenotype,http://purl.obolibrary.org/obo/MONDO_0011743,MONDO:0011743,MONDO:0011743,NA,NA
MONDO:0009281,phenotype,http://purl.obolibrary.org/obo/MONDO_0009281,MONDO:0009281,MONDO:0009281,NA,NA
MONDO:0007088,phenotype,http://purl.obolibrary.org/obo/MONDO_0007088,MONDO:0007088,MONDO:0007088,NA,NA
MONDO:0018591,phenotype,http://purl.obolibrary.org/obo/MONDO_0018591,MONDO:0018591,MONDO:0018591,NA,NA
MONDO:0014604,phenotype,http://purl.obolibrary.org/obo/MONDO_0014604,MONDO:0014604,MONDO:0014604,NA,NA
MONDO:0008083,phenotype,http://purl.obolibrary.org/obo/MONDO_0008083,MONDO:0008083,MONDO:0008083,NA,NA
MONDO:0014975,phenotype,http://purl.obolibrary.org/obo/MONDO_0014975,MONDO:0014975,MONDO:0014975,NA,NA
MONDO:0017730,phenotype,http://purl.obolibrary.org/obo/MONDO_0017730,MONDO:0017730,MONDO:0017730,NA,NA
HGNC:3033,gene,https://identifiers.org/HGNC:3033,HGNC:3033,HGNC:3033,NA,NA
HGNC:23594,gene,https://identifiers.org/HGNC:23594,HGNC:23594,HGNC:23594,NA,NA
HGNC:8768,gene,https://identifiers.org/HGNC:8768,HGNC:8768,HGNC:8768,NA,NA
MONDO:0013060,phenotype,http://purl.obolibrary.org/obo/MONDO_0013060,MONDO:0013060,MONDO:0013060,NA,NA
HGNC:11802,gene,https://identifiers.org/HGNC:11802,HGNC:11802,HGNC:11802,NA,NA
MONDO:0014742,phenotype,http://purl.obolibrary.org/obo/MONDO_0014742,MONDO:0014742,MONDO:0014742,NA,NA
MONDO:0007089,phenotype,http://purl.obolibrary.org/obo/MONDO_0007089,MONDO:0007089,MONDO:0007089,NA,NA
MONDO:0011585,phenotype,http://purl.obolibrary.org/obo/MONDO_0011585,MONDO:0011585,MONDO:0011585,NA,NA
HGNC:2531,gene,https://identifiers.org/HGNC:2531,HGNC:2531,HGNC:2531,NA,NA
HGNC:1908,gene,https://identifiers.org/HGNC:1908,HGNC:1908,HGNC:1908,NA,NA
HGNC:22407,gene,https://identifiers.org/HGNC:22407,HGNC:22407,HGNC:22407,NA,NA
MONDO:0030875,phenotype,http://purl.obolibrary.org/obo/MONDO_0030875,MONDO:0030875,MONDO:0030875,NA,NA
HGNC:18305,gene,https://identifiers.org/HGNC:18305,HGNC:18305,HGNC:18305,NA,NA
HGNC:4982,gene,https://identifiers.org/HGNC:4982,HGNC:4982,HGNC:4982,NA,NA
HGNC:2295,gene,https://identifiers.org/HGNC:2295,HGNC:2295,HGNC:2295,NA,NA
HGNC:17019,gene,https://identifiers.org/HGNC:17019,HGNC:17019,HGNC:17019,NA,NA
MONDO:0011842,phenotype,http://purl.obolibrary.org/obo/MONDO_0011842,MONDO:0011842,MONDO:0011842,NA,NA
HGNC:3432,gene,https://identifiers.org/HGNC:3432,HGNC:3432,HGNC:3432,NA,NA
HGNC:21698,gene,https://identifiers.org/HGNC:21698,HGNC:21698,HGNC:21698,NA,NA
HGNC:21645,gene,https://identifiers.org/HGNC:21645,HGNC:21645,HGNC:21645,NA,NA
MONDO:0013584,phenotype,http://purl.obolibrary.org/obo/MONDO_0013584,MONDO:0013584,MONDO:0013584,NA,NA
MONDO:0800027,phenotype,http://purl.obolibrary.org/obo/MONDO_0800027,MONDO:0800027,MONDO:0800027,NA,NA
MONDO:0012789,phenotype,http://purl.obolibrary.org/obo/MONDO_0012789,MONDO:0012789,MONDO:0012789,NA,NA
HGNC:23595,gene,https://identifiers.org/HGNC:23595,HGNC:23595,HGNC:23595,NA,NA
MONDO:0008307,phenotype,http://purl.obolibrary.org/obo/MONDO_0008307,MONDO:0008307,MONDO:0008307,NA,NA
MONDO:0010829,phenotype,http://purl.obolibrary.org/obo/MONDO_0010829,MONDO:0010829,MONDO:0010829,NA,NA
MONDO:0100294,phenotype,http://purl.obolibrary.org/obo/MONDO_0100294,MONDO:0100294,MONDO:0100294,NA,NA
MONDO:0011283,phenotype,http://purl.obolibrary.org/obo/MONDO_0011283,MONDO:0011283,MONDO:0011283,NA,NA
HGNC:6990,gene,https://identifiers.org/HGNC:6990,HGNC:6990,HGNC:6990,NA,NA
MONDO:0008438,phenotype,http://purl.obolibrary.org/obo/MONDO_0008438,MONDO:0008438,MONDO:0008438,NA,NA
MONDO:0859183,phenotype,http://purl.obolibrary.org/obo/MONDO_0859183,MONDO:0859183,MONDO:0859183,NA,NA
MONDO:0008199,phenotype,http://purl.obolibrary.org/obo/MONDO_0008199,MONDO:0008199,MONDO:0008199,NA,NA
MONDO:0007496,phenotype,http://purl.obolibrary.org/obo/MONDO_0007496,MONDO:0007496,MONDO:0007496,NA,NA
HGNC:7981,gene,https://identifiers.org/HGNC:7981,HGNC:7981,HGNC:7981,NA,NA
HGNC:13308,gene,https://identifiers.org/HGNC:13308,HGNC:13308,HGNC:13308,NA,NA
MONDO:0032753,phenotype,http://purl.obolibrary.org/obo/MONDO_0032753,MONDO:0032753,MONDO:0032753,NA,NA
HGNC:12269,gene,https://identifiers.org/HGNC:12269,HGNC:12269,HGNC:12269,NA,NA
MONDO:0014796,phenotype,http://purl.obolibrary.org/obo/MONDO_0014796,MONDO:0014796,MONDO:0014796,NA,NA
MONDO:0010100,phenotype,http://purl.obolibrary.org/obo/MONDO_0010100,MONDO:0010100,MONDO:0010100,NA,NA
MONDO:0010773,phenotype,http://purl.obolibrary.org/obo/MONDO_0010773,MONDO:0010773,MONDO:0010773,NA,NA
MONDO:0001945,phenotype,http://purl.obolibrary.org/obo/MONDO_0001945,MONDO:0001945,MONDO:0001945,NA,NA
HGNC:31708,gene,https://identifiers.org/HGNC:31708,HGNC:31708,HGNC:31708,NA,NA
HP:0010875,phenotype,http://purl.obolibrary.org/obo/HP_0010875,HP:0010875,HP:0010875,NA,NA
MONDO:0017636,phenotype,http://purl.obolibrary.org/obo/MONDO_0017636,MONDO:0017636,MONDO:0017636,NA,NA
HGNC:801,gene,https://identifiers.org/HGNC:801,HGNC:801,HGNC:801,NA,NA
HGNC:9305,gene,https://identifiers.org/HGNC:9305,HGNC:9305,HGNC:9305,NA,NA
MONDO:0007403,phenotype,http://purl.obolibrary.org/obo/MONDO_0007403,MONDO:0007403,MONDO:0007403,NA,NA
HGNC:18063,gene,https://identifiers.org/HGNC:18063,HGNC:18063,HGNC:18063,NA,NA
MONDO:0011299,phenotype,http://purl.obolibrary.org/obo/MONDO_0011299,MONDO:0011299,MONDO:0011299,NA,NA
